,WeatherHigh_D,WeatherLow_D,WeatherHigh_D+1,WeatherLow_D+1,Av Demand D,Peak Demand D,Av Demand D+1,Peak Demand D+1,Av Offshore Wind D,Peak Offshore Wind D,Av Onshore Wind D,Peak Onshore Wind D,Av Solar D,Peak Solar D,GBPEUR rate,GBBUSD rate,DA NBP,MA NBP,DA Elec,MA Elec
2019-02-04,8.27,1.74,8.71,7.39,38475.81,47080.0,36703.28,46160.0,3674.29,5019.24,5651.89,7795.61,705.81,3493.0,1.1413,1.3067,51.8987342,50.3528481,54.6217949,53.25
2019-02-05,8.5,6.9,10.82,6.19,38908.5,46779.0,35512.98,46110.0,2302.56,4660.79,4685.85,7612.39,532.84,2662.0,1.1422,1.3046,50.8661111,49.8130531,53.3157895,53.3645455
2019-02-06,11.21,6.26,9.04,6.45,37380.88,46900.0,34758.03,45600.0,2486.95,4551.7,5190.89,6339.17,853.76,4124.0,1.137 ,1.2955,50.5388095,50.5531008,53.3535714,53.6271429
2019-02-07,9.45,7.05,10.3,6.79,36628.02,45653.0,27059.5,28569.0,4489.75,5153.03,5047.38,6238.22,879.62,3658.0,1.137 ,1.2907,50.6079787,50.3328526,51.8328179,53.4
2019-02-09,10.39,7.05,7.67,3.9,30342.83,40143.0,31075.67,42000.0,4617.0,5519.89,8642.85,10563.9,1144.99,4400.0,1.1429,1.2951,48.8796651,48.6227632,53.7162162,52.58
2019-02-11,8.89,3.88,10.58,7.29,37541.02,46622.0,28433.5,29567.0,1199.59,3006.29,2073.86,4091.16,1245.07,4821.0,1.1417,1.292 ,48.8796651,48.6227632,53.7162162,52.58
2019-02-12,10.55,7.2,10.79,2.68,36677.94,46080.0,34023.53,44410.0,2995.27,3941.35,6522.13,8080.1,777.78,3232.0,1.1387,1.2841,47.7356061,47.1336806,50.75,51.2923077
2019-02-13,11.55,3.63,11.25,3.54,35298.31,44291.0,33965.69,44690.0,2948.34,3259.87,7086.04,7691.54,1099.52,4377.0,1.1421,1.2897,47.3163131,47.3341323,50.04997,50.7133846
2019-02-15,12.54,6.14,12.26,5.93,34451.81,42443.0,29861.43,38150.0,2262.76,3326.89,6356.29,7420.57,1775.94,6366.0,1.1379,1.2831,47.3059827,47.7512953,49.4587248,50.5164773
2019-02-18,10.12,5.29,10.86,7.58,33493.46,43950.0,32786.03,44500.0,3496.93,4025.87,7594.5,8658.58,809.37,2846.0,1.1428,1.2924,46.9623711,47.3079365,49.4833333,50.21
2019-02-19,10.28,7.9,11.33,8.36,34635.94,44400.0,32155.97,43350.0,3025.56,3989.21,4830.05,7500.83,1171.85,4508.0,1.1428,1.2916,46.2461864,46.7751923,49.8833333,49.4833333
